Namespace(config='config/qrdqn.yaml', cuda=True, env_id='JamesbondNoFrameskip-v4', model='DEnet', seed=0)
Mean_return:0.1 Frame:0.03 M  Time_used 0H-0M Time_togo 63H-25M
Mean_return:0.08 Frame:0.06 M  Time_used 0H-1M Time_togo 94H-36M
Mean_return:0.12 Frame:0.10 M  Time_used 0H-2M Time_togo 98H-13M
Mean_return:0.1 Frame:0.13 M  Time_used 0H-3M Time_togo 100H-1M
Mean_return:0.06 Frame:0.16 M  Time_used 0H-4M Time_togo 101H-54M
Mean_return:0.18 Frame:0.19 M  Time_used 0H-5M Time_togo 103H-14M
Mean_return:0.08 Frame:0.22 M  Time_used 0H-6M Time_togo 102H-21M
Mean_return:0.12 Frame:0.26 M  Time_used 0H-7M Time_togo 102H-33M
Mean_return:0.08 Frame:0.29 M  Time_used 0H-8M Time_togo 103H-18M
Mean_return:0.16 Frame:0.32 M  Time_used 0H-10M Time_togo 105H-16M
Mean_return:0.11 Frame:0.35 M  Time_used 0H-11M Time_togo 106H-19M
Mean_return:0.12 Frame:0.39 M  Time_used 0H-12M Time_togo 108H-2M
Mean_return:0.11 Frame:0.42 M  Time_used 0H-13M Time_togo 108H-31M
Mean_return:0.09 Frame:0.45 M  Time_used 0H-14M Time_togo 108H-56M
Mean_return:0.11 Frame:0.49 M  Time_used 0H-16M Time_togo 110H-13M
Mean_return:0.15 Frame:0.52 M  Time_used 0H-17M Time_togo 111H-14M
Mean_return:0.09 Frame:0.55 M  Time_used 0H-18M Time_togo 112H-45M
Mean_return:0.12 Frame:0.59 M  Time_used 0H-20M Time_togo 113H-36M
Mean_return:0.2 Frame:0.62 M  Time_used 0H-21M Time_togo 112H-59M
Mean_return:0.12 Frame:0.66 M  Time_used 0H-22M Time_togo 112H-1M
Mean_return:0.22 Frame:0.70 M  Time_used 0H-23M Time_togo 112H-45M
Mean_return:0.2 Frame:0.74 M  Time_used 0H-24M Time_togo 112H-30M
Mean_return:0.2 Frame:0.77 M  Time_used 0H-26M Time_togo 112H-27M
Mean_return:0.11 Frame:0.81 M  Time_used 0H-27M Time_togo 112H-40M
Mean_return:0.21 Frame:0.85 M  Time_used 0H-29M Time_togo 113H-27M
Mean_return:0.1 Frame:0.89 M  Time_used 0H-31M Time_togo 116H-19M
Mean_return:0.17 Frame:0.93 M  Time_used 0H-33M Time_togo 118H-31M
Mean_return:0.08 Frame:0.97 M  Time_used 0H-35M Time_togo 120H-30M
------------------------------------------------------------
Num steps: 250000  return: 31.8 
------------------------------------------------------------
Mean_return:0.14 Frame:1.01 M  Time_used 0H-48M Time_togo 158H-9M
Mean_return:0.1 Frame:1.05 M  Time_used 0H-50M Time_togo 159H-48M
Mean_return:0.09 Frame:1.09 M  Time_used 0H-52M Time_togo 159H-43M
Mean_return:0.09 Frame:1.12 M  Time_used 0H-54M Time_togo 159H-45M
Mean_return:0.08 Frame:1.16 M  Time_used 0H-55M Time_togo 159H-11M
Mean_return:0.12 Frame:1.20 M  Time_used 0H-57M Time_togo 158H-16M
Mean_return:0.18 Frame:1.24 M  Time_used 0H-58M Time_togo 157H-9M
Mean_return:0.14 Frame:1.28 M  Time_used 1H-0M Time_togo 155H-30M
Mean_return:0.14 Frame:1.32 M  Time_used 1H-1M Time_togo 155H-8M
Mean_return:0.11 Frame:1.36 M  Time_used 1H-3M Time_togo 155H-5M
Mean_return:0.11 Frame:1.40 M  Time_used 1H-5M Time_togo 155H-39M
Mean_return:0.11 Frame:1.43 M  Time_used 1H-7M Time_togo 156H-18M
Mean_return:0.13 Frame:1.47 M  Time_used 1H-9M Time_togo 157H-35M
Mean_return:0.18 Frame:1.50 M  Time_used 1H-11M Time_togo 157H-49M
Mean_return:0.15 Frame:1.54 M  Time_used 1H-13M Time_togo 157H-59M
Mean_return:0.21 Frame:1.58 M  Time_used 1H-15M Time_togo 158H-0M
Mean_return:0.28 Frame:1.63 M  Time_used 1H-17M Time_togo 158H-2M
Mean_return:0.14 Frame:1.67 M  Time_used 1H-19M Time_togo 158H-5M
Mean_return:0.1 Frame:1.71 M  Time_used 1H-22M Time_togo 158H-13M
Mean_return:0.09 Frame:1.75 M  Time_used 1H-23M Time_togo 158H-15M
Mean_return:0.15 Frame:1.80 M  Time_used 1H-26M Time_togo 158H-47M
Mean_return:0.17 Frame:1.85 M  Time_used 1H-28M Time_togo 158H-34M
Mean_return:0.18 Frame:1.89 M  Time_used 1H-30M Time_togo 158H-22M
Mean_return:0.08 Frame:1.93 M  Time_used 1H-32M Time_togo 157H-56M
Mean_return:0.19 Frame:1.97 M  Time_used 1H-34M Time_togo 157H-15M
------------------------------------------------------------
Num steps: 500000  return: 41.5 
------------------------------------------------------------
Mean_return:0.19 Frame:2.02 M  Time_used 1H-46M Time_togo 173H-25M
Mean_return:0.16 Frame:2.06 M  Time_used 1H-48M Time_togo 173H-37M
Mean_return:0.15 Frame:2.12 M  Time_used 1H-50M Time_togo 172H-47M
Mean_return:0.13 Frame:2.16 M  Time_used 1H-52M Time_togo 171H-35M
Mean_return:0.12 Frame:2.21 M  Time_used 1H-54M Time_togo 171H-30M
Mean_return:0.18 Frame:2.26 M  Time_used 1H-57M Time_togo 171H-14M
Mean_return:0.17 Frame:2.31 M  Time_used 1H-59M Time_togo 171H-8M
Mean_return:0.1 Frame:2.34 M  Time_used 2H-1M Time_togo 171H-4M
Mean_return:0.15 Frame:2.39 M  Time_used 2H-3M Time_togo 170H-50M
Mean_return:0.12 Frame:2.43 M  Time_used 2H-5M Time_togo 170H-28M
Mean_return:0.19 Frame:2.48 M  Time_used 2H-7M Time_togo 169H-42M
Mean_return:0.24 Frame:2.52 M  Time_used 2H-9M Time_togo 169H-11M
Mean_return:0.18 Frame:2.57 M  Time_used 2H-11M Time_togo 168H-44M
Mean_return:0.22 Frame:2.62 M  Time_used 2H-13M Time_togo 168H-11M
Mean_return:0.12 Frame:2.66 M  Time_used 2H-15M Time_togo 167H-41M
Mean_return:0.25 Frame:2.72 M  Time_used 2H-17M Time_togo 166H-52M
Mean_return:0.16 Frame:2.77 M  Time_used 2H-20M Time_togo 166H-16M
