Namespace(config='config/qrdqn.yaml', cuda=True, env_id='JamesbondNoFrameskip-v4', model='DEnet', seed=3)
Mean_return:0.08 Frame:0.03 M  Time_used 0H-0M Time_togo 67H-26M
Mean_return:0.06 Frame:0.06 M  Time_used 0H-1M Time_togo 100H-40M
Mean_return:0.06 Frame:0.09 M  Time_used 0H-2M Time_togo 103H-30M
Mean_return:0.17 Frame:0.13 M  Time_used 0H-4M Time_togo 106H-13M
Mean_return:0.19 Frame:0.16 M  Time_used 0H-5M Time_togo 110H-27M
Mean_return:0.12 Frame:0.19 M  Time_used 0H-6M Time_togo 109H-52M
Mean_return:0.11 Frame:0.23 M  Time_used 0H-7M Time_togo 109H-8M
Mean_return:0.11 Frame:0.26 M  Time_used 0H-8M Time_togo 111H-35M
Mean_return:0.24 Frame:0.30 M  Time_used 0H-10M Time_togo 114H-2M
Mean_return:0.1 Frame:0.33 M  Time_used 0H-11M Time_togo 116H-4M
Mean_return:0.15 Frame:0.36 M  Time_used 0H-12M Time_togo 117H-52M
Mean_return:0.21 Frame:0.40 M  Time_used 0H-14M Time_togo 119H-56M
Mean_return:0.17 Frame:0.44 M  Time_used 0H-15M Time_togo 121H-52M
Mean_return:0.1 Frame:0.47 M  Time_used 0H-17M Time_togo 122H-39M
Mean_return:0.16 Frame:0.51 M  Time_used 0H-18M Time_togo 124H-18M
Mean_return:0.16 Frame:0.54 M  Time_used 0H-20M Time_togo 125H-56M
Mean_return:0.13 Frame:0.58 M  Time_used 0H-21M Time_togo 127H-5M
Mean_return:0.11 Frame:0.61 M  Time_used 0H-23M Time_togo 129H-51M
Mean_return:0.09 Frame:0.64 M  Time_used 0H-25M Time_togo 130H-45M
Mean_return:0.16 Frame:0.68 M  Time_used 0H-26M Time_togo 132H-8M
Mean_return:0.07 Frame:0.71 M  Time_used 0H-28M Time_togo 132H-7M
Mean_return:0.16 Frame:0.74 M  Time_used 0H-29M Time_togo 132H-31M
Mean_return:0.1 Frame:0.78 M  Time_used 0H-30M Time_togo 132H-20M
Mean_return:0.12 Frame:0.81 M  Time_used 0H-32M Time_togo 133H-6M
Mean_return:0.14 Frame:0.85 M  Time_used 0H-33M Time_togo 133H-18M
Mean_return:0.16 Frame:0.88 M  Time_used 0H-35M Time_togo 133H-57M
Mean_return:0.08 Frame:0.91 M  Time_used 0H-37M Time_togo 134H-16M
Mean_return:0.05 Frame:0.95 M  Time_used 0H-39M Time_togo 136H-59M
Mean_return:0.13 Frame:0.99 M  Time_used 0H-41M Time_togo 138H-59M
------------------------------------------------------------
Num steps: 250000  return: 20.3 
------------------------------------------------------------
Mean_return:0.05 Frame:1.02 M  Time_used 0H-55M Time_togo 178H-44M
Mean_return:0.0 Frame:1.05 M  Time_used 0H-56M Time_togo 179H-0M
Mean_return:0.02 Frame:1.08 M  Time_used 0H-58M Time_togo 179H-7M
Mean_return:0.09 Frame:1.12 M  Time_used 1H-0M Time_togo 179H-20M
Mean_return:0.01 Frame:1.16 M  Time_used 1H-3M Time_togo 180H-14M
Mean_return:0.1 Frame:1.21 M  Time_used 1H-5M Time_togo 180H-42M
Mean_return:0.1 Frame:1.25 M  Time_used 1H-8M Time_togo 181H-56M
Mean_return:0.15 Frame:1.31 M  Time_used 1H-11M Time_togo 181H-56M
Mean_return:0.15 Frame:1.37 M  Time_used 1H-14M Time_togo 180H-48M
Mean_return:0.23 Frame:1.42 M  Time_used 1H-16M Time_togo 178H-53M
Mean_return:0.14 Frame:1.48 M  Time_used 1H-19M Time_togo 177H-24M
