Namespace(config='config/qrdqn.yaml', cuda=True, env_id='JamesbondNoFrameskip-v4', model='ncQRDQN', seed=2)
Mean_return:0.11 Frame:0.03 M  Time_used 0H-0M Time_togo 50H-43M
Mean_return:0.07 Frame:0.06 M  Time_used 0H-1M Time_togo 72H-38M
Mean_return:0.06 Frame:0.09 M  Time_used 0H-2M Time_togo 80H-43M
Mean_return:0.06 Frame:0.13 M  Time_used 0H-3M Time_togo 81H-38M
Mean_return:0.09 Frame:0.16 M  Time_used 0H-3M Time_togo 82H-22M
Mean_return:0.14 Frame:0.19 M  Time_used 0H-4M Time_togo 84H-46M
Mean_return:0.04 Frame:0.22 M  Time_used 0H-5M Time_togo 86H-35M
Mean_return:0.09 Frame:0.25 M  Time_used 0H-6M Time_togo 85H-11M
Mean_return:0.17 Frame:0.29 M  Time_used 0H-7M Time_togo 85H-18M
Mean_return:0.13 Frame:0.32 M  Time_used 0H-8M Time_togo 85H-49M
Mean_return:0.11 Frame:0.35 M  Time_used 0H-9M Time_togo 86H-52M
Mean_return:0.17 Frame:0.39 M  Time_used 0H-10M Time_togo 88H-38M
Mean_return:0.17 Frame:0.42 M  Time_used 0H-11M Time_togo 89H-45M
Mean_return:0.11 Frame:0.45 M  Time_used 0H-12M Time_togo 91H-26M
Mean_return:0.12 Frame:0.48 M  Time_used 0H-13M Time_togo 92H-23M
Mean_return:0.12 Frame:0.52 M  Time_used 0H-14M Time_togo 93H-33M
Mean_return:0.13 Frame:0.55 M  Time_used 0H-15M Time_togo 95H-13M
Mean_return:0.09 Frame:0.58 M  Time_used 0H-16M Time_togo 96H-24M
Mean_return:0.08 Frame:0.61 M  Time_used 0H-17M Time_togo 97H-7M
Mean_return:0.14 Frame:0.65 M  Time_used 0H-19M Time_togo 98H-15M
Mean_return:0.13 Frame:0.68 M  Time_used 0H-20M Time_togo 99H-12M
Mean_return:0.1 Frame:0.71 M  Time_used 0H-21M Time_togo 99H-52M
Mean_return:0.17 Frame:0.74 M  Time_used 0H-22M Time_togo 100H-8M
Mean_return:0.17 Frame:0.78 M  Time_used 0H-23M Time_togo 101H-33M
Mean_return:0.11 Frame:0.81 M  Time_used 0H-24M Time_togo 101H-58M
Mean_return:0.12 Frame:0.84 M  Time_used 0H-26M Time_togo 102H-48M
Mean_return:0.14 Frame:0.87 M  Time_used 0H-27M Time_togo 103H-36M
Mean_return:0.11 Frame:0.91 M  Time_used 0H-28M Time_togo 104H-31M
Mean_return:0.18 Frame:0.95 M  Time_used 0H-30M Time_togo 106H-15M
Mean_return:0.15 Frame:0.98 M  Time_used 0H-31M Time_togo 107H-58M
------------------------------------------------------------
Num steps: 250000  return: 83.0 
------------------------------------------------------------
Mean_return:0.15 Frame:1.02 M  Time_used 0H-41M Time_togo 134H-53M
Mean_return:0.13 Frame:1.05 M  Time_used 0H-42M Time_togo 134H-41M
Mean_return:0.13 Frame:1.09 M  Time_used 0H-44M Time_togo 135H-34M
