Namespace(config='config/qrdqn.yaml', cuda=True, env_id='JamesbondNoFrameskip-v4', model='DEnet', seed=1)
Mean_return:0.18 Frame:2.65 M  Time_used 2H-15M Time_togo 167H-40M
Mean_return:0.15 Frame:2.70 M  Time_used 2H-17M Time_togo 166H-59M
Mean_return:0.23 Frame:2.75 M  Time_used 2H-18M Time_togo 166H-18M
Mean_return:0.17 Frame:2.79 M  Time_used 2H-20M Time_togo 165H-40M
Mean_return:0.14 Frame:2.84 M  Time_used 2H-22M Time_togo 165H-17M
Mean_return:0.18 Frame:2.89 M  Time_used 2H-24M Time_togo 164H-46M
Mean_return:0.15 Frame:2.93 M  Time_used 2H-26M Time_togo 164H-21M
Mean_return:0.19 Frame:2.99 M  Time_used 2H-29M Time_togo 163H-59M
------------------------------------------------------------
Num steps: 750000  return: 83.6 
------------------------------------------------------------
Mean_return:0.12 Frame:3.03 M  Time_used 2H-40M Time_togo 173H-8M
Mean_return:0.24 Frame:3.08 M  Time_used 2H-41M Time_togo 172H-14M
Mean_return:0.24 Frame:3.13 M  Time_used 2H-43M Time_togo 171H-48M
Mean_return:0.19 Frame:3.18 M  Time_used 2H-46M Time_togo 171H-16M
Mean_return:0.19 Frame:3.23 M  Time_used 2H-48M Time_togo 170H-37M
Mean_return:0.17 Frame:3.28 M  Time_used 2H-50M Time_togo 170H-5M
Mean_return:0.07 Frame:3.32 M  Time_used 2H-52M Time_togo 169H-35M
Mean_return:0.17 Frame:3.37 M  Time_used 2H-53M Time_togo 169H-10M
Mean_return:0.11 Frame:3.42 M  Time_used 2H-55M Time_togo 168H-26M
Mean_return:0.11 Frame:3.47 M  Time_used 2H-57M Time_togo 167H-35M
Mean_return:0.09 Frame:3.52 M  Time_used 2H-59M Time_togo 166H-57M
Mean_return:0.16 Frame:3.57 M  Time_used 3H-0M Time_togo 165H-58M
Mean_return:0.17 Frame:3.62 M  Time_used 3H-2M Time_togo 165H-14M
Mean_return:0.07 Frame:3.67 M  Time_used 3H-4M Time_togo 164H-24M
Mean_return:0.13 Frame:3.71 M  Time_used 3H-5M Time_togo 163H-48M
Mean_return:0.1 Frame:3.75 M  Time_used 3H-7M Time_togo 163H-16M
Mean_return:0.19 Frame:3.80 M  Time_used 3H-9M Time_togo 163H-7M
Mean_return:0.12 Frame:3.86 M  Time_used 3H-11M Time_togo 162H-40M
Mean_return:0.18 Frame:3.91 M  Time_used 3H-14M Time_togo 162H-16M
Mean_return:0.23 Frame:3.97 M  Time_used 3H-16M Time_togo 162H-5M
------------------------------------------------------------
Num steps: 1000000  return: 35.1 
------------------------------------------------------------
Mean_return:0.16 Frame:4.02 M  Time_used 3H-28M Time_togo 169H-33M
Mean_return:0.12 Frame:4.07 M  Time_used 3H-32M Time_togo 170H-4M
Mean_return:0.14 Frame:4.12 M  Time_used 3H-35M Time_togo 170H-37M
Mean_return:0.19 Frame:4.18 M  Time_used 3H-39M Time_togo 170H-59M
Mean_return:0.27 Frame:4.24 M  Time_used 3H-43M Time_togo 171H-32M
Mean_return:0.2 Frame:4.29 M  Time_used 3H-46M Time_togo 172H-4M
Mean_return:0.24 Frame:4.35 M  Time_used 3H-50M Time_togo 172H-33M
Mean_return:0.24 Frame:4.41 M  Time_used 3H-53M Time_togo 172H-51M
Mean_return:0.29 Frame:4.47 M  Time_used 3H-57M Time_togo 173H-16M
Mean_return:0.13 Frame:4.52 M  Time_used 4H-0M Time_togo 173H-38M
Mean_return:0.27 Frame:4.58 M  Time_used 4H-4M Time_togo 174H-1M
Mean_return:0.27 Frame:4.63 M  Time_used 4H-7M Time_togo 174H-12M
Mean_return:0.2 Frame:4.68 M  Time_used 4H-11M Time_togo 174H-38M
Mean_return:0.24 Frame:4.73 M  Time_used 4H-14M Time_togo 175H-6M
Mean_return:0.21 Frame:4.78 M  Time_used 4H-17M Time_togo 175H-30M
Mean_return:0.16 Frame:4.83 M  Time_used 4H-20M Time_togo 175H-43M
Mean_return:0.32 Frame:4.88 M  Time_used 4H-23M Time_togo 175H-24M
Mean_return:0.24 Frame:4.94 M  Time_used 4H-26M Time_togo 175H-10M
Mean_return:0.18 Frame:4.99 M  Time_used 4H-29M Time_togo 175H-30M
------------------------------------------------------------
Num steps: 1250000  return: 73.3 
------------------------------------------------------------
Mean_return:0.19 Frame:5.06 M  Time_used 4H-42M Time_togo 181H-27M
Mean_return:0.18 Frame:5.11 M  Time_used 4H-46M Time_togo 181H-46M
Mean_return:0.27 Frame:5.16 M  Time_used 4H-49M Time_togo 181H-54M
Mean_return:0.14 Frame:5.22 M  Time_used 4H-52M Time_togo 181H-56M
Mean_return:0.14 Frame:5.28 M  Time_used 4H-55M Time_togo 181H-47M
Mean_return:0.21 Frame:5.33 M  Time_used 4H-58M Time_togo 182H-1M
Mean_return:0.18 Frame:5.38 M  Time_used 5H-2M Time_togo 182H-12M
Mean_return:0.17 Frame:5.43 M  Time_used 5H-5M Time_togo 182H-17M
Mean_return:0.15 Frame:5.49 M  Time_used 5H-8M Time_togo 182H-18M
Mean_return:0.14 Frame:5.54 M  Time_used 5H-11M Time_togo 182H-31M
Mean_return:0.2 Frame:5.59 M  Time_used 5H-15M Time_togo 182H-44M
Mean_return:0.17 Frame:5.64 M  Time_used 5H-18M Time_togo 182H-54M
Mean_return:0.17 Frame:5.70 M  Time_used 5H-22M Time_togo 183H-6M
Mean_return:0.32 Frame:5.77 M  Time_used 5H-26M Time_togo 183H-9M
Mean_return:0.31 Frame:5.84 M  Time_used 5H-30M Time_togo 183H-31M
Mean_return:0.33 Frame:5.91 M  Time_used 5H-36M Time_togo 184H-2M
Mean_return:0.28 Frame:5.99 M  Time_used 5H-41M Time_togo 184H-24M
------------------------------------------------------------
Num steps: 1500000  return: 161.7
------------------------------------------------------------
Mean_return:0.29 Frame:6.07 M  Time_used 5H-55M Time_togo 189H-12M
Mean_return:0.26 Frame:6.14 M  Time_used 5H-59M Time_togo 188H-47M
Mean_return:0.27 Frame:6.21 M  Time_used 6H-2M Time_togo 188H-25M
Mean_return:0.31 Frame:6.27 M  Time_used 6H-5M Time_togo 188H-9M
Mean_return:0.36 Frame:6.34 M  Time_used 6H-8M Time_togo 187H-43M
Mean_return:0.29 Frame:6.41 M  Time_used 6H-13M Time_togo 187H-47M
Mean_return:0.2 Frame:6.48 M  Time_used 6H-17M Time_togo 187H-52M
Mean_return:0.22 Frame:6.55 M  Time_used 6H-21M Time_togo 188H-4M
Mean_return:0.14 Frame:6.61 M  Time_used 6H-25M Time_togo 188H-10M
Mean_return:0.26 Frame:6.67 M  Time_used 6H-29M Time_togo 188H-12M
Mean_return:0.18 Frame:6.73 M  Time_used 6H-33M Time_togo 188H-15M
Mean_return:0.32 Frame:6.81 M  Time_used 6H-38M Time_togo 188H-15M
Mean_return:0.44 Frame:6.90 M  Time_used 6H-43M Time_togo 188H-17M
Mean_return:0.28 Frame:6.97 M  Time_used 6H-48M Time_togo 188H-31M
------------------------------------------------------------
Num steps: 1750000  return: 136.2
------------------------------------------------------------
Mean_return:0.34 Frame:7.05 M  Time_used 7H-2M Time_togo 192H-33M
Mean_return:0.29 Frame:7.14 M  Time_used 7H-6M Time_togo 192H-2M
Mean_return:0.23 Frame:7.23 M  Time_used 7H-10M Time_togo 191H-30M
Mean_return:0.31 Frame:7.32 M  Time_used 7H-15M Time_togo 190H-54M
Mean_return:0.29 Frame:7.40 M  Time_used 7H-19M Time_togo 190H-25M
Mean_return:0.29 Frame:7.47 M  Time_used 7H-22M Time_togo 190H-0M
Mean_return:0.35 Frame:7.55 M  Time_used 7H-26M Time_togo 189H-33M
Mean_return:0.29 Frame:7.65 M  Time_used 7H-31M Time_togo 189H-3M
Mean_return:0.31 Frame:7.74 M  Time_used 7H-35M Time_togo 188H-35M
Mean_return:0.36 Frame:7.83 M  Time_used 7H-39M Time_togo 188H-8M
Mean_return:0.38 Frame:7.92 M  Time_used 7H-44M Time_togo 187H-44M
Mean_return:0.39 Frame:7.99 M  Time_used 7H-48M Time_togo 187H-28M
------------------------------------------------------------
Num steps: 2000000  return: 170.3
------------------------------------------------------------
Mean_return:0.45 Frame:8.08 M  Time_used 8H-1M Time_togo 190H-41M
Mean_return:0.53 Frame:8.16 M  Time_used 8H-5M Time_togo 190H-17M
Mean_return:0.4 Frame:8.24 M  Time_used 8H-9M Time_togo 189H-57M
Mean_return:0.4 Frame:8.32 M  Time_used 8H-14M Time_togo 189H-35M
Mean_return:0.49 Frame:8.41 M  Time_used 8H-18M Time_togo 189H-14M
Mean_return:0.51 Frame:8.50 M  Time_used 8H-23M Time_togo 188H-52M
Mean_return:0.42 Frame:8.59 M  Time_used 8H-27M Time_togo 188H-23M
Mean_return:0.52 Frame:8.68 M  Time_used 8H-31M Time_togo 187H-53M
Mean_return:0.41 Frame:8.77 M  Time_used 8H-35M Time_togo 187H-26M
Mean_return:0.53 Frame:8.85 M  Time_used 8H-39M Time_togo 187H-5M
Mean_return:0.51 Frame:8.93 M  Time_used 8H-43M Time_togo 186H-41M
------------------------------------------------------------
Num steps: 2250000  return: 98.7 
------------------------------------------------------------
Mean_return:0.59 Frame:9.02 M  Time_used 8H-57M Time_togo 189H-33M
Mean_return:0.57 Frame:9.12 M  Time_used 9H-1M Time_togo 189H-4M
Mean_return:0.63 Frame:9.21 M  Time_used 9H-6M Time_togo 188H-40M
Mean_return:0.66 Frame:9.30 M  Time_used 9H-10M Time_togo 188H-17M
Mean_return:0.79 Frame:9.39 M  Time_used 9H-15M Time_togo 187H-57M
Mean_return:0.77 Frame:9.48 M  Time_used 9H-20M Time_togo 187H-36M
Mean_return:0.74 Frame:9.57 M  Time_used 9H-24M Time_togo 187H-13M
Mean_return:0.57 Frame:9.67 M  Time_used 9H-29M Time_togo 186H-54M
Mean_return:0.57 Frame:9.76 M  Time_used 9H-34M Time_togo 186H-30M
Mean_return:0.66 Frame:9.87 M  Time_used 9H-39M Time_togo 186H-5M
Mean_return:0.75 Frame:9.97 M  Time_used 9H-44M Time_togo 185H-45M
------------------------------------------------------------
Num steps: 2500000  return: 537.1
------------------------------------------------------------
Mean_return:0.73 Frame:10.06 M  Time_used 9H-57M Time_togo 188H-9M
Mean_return:0.52 Frame:10.16 M  Time_used 10H-2M Time_togo 187H-46M
Mean_return:0.84 Frame:10.25 M  Time_used 10H-7M Time_togo 187H-24M
Mean_return:0.65 Frame:10.34 M  Time_used 10H-11M Time_togo 187H-7M
Mean_return:0.61 Frame:10.43 M  Time_used 10H-16M Time_togo 186H-48M
Mean_return:0.89 Frame:10.53 M  Time_used 10H-21M Time_togo 186H-29M
