Namespace(config='config/qrdqn.yaml', cuda=True, env_id='JamesbondNoFrameskip-v4', model='ncQRDQN', seed=0)
Mean_return:0.26 Frame:2.76 M  Time_used 2H-1M Time_togo 145H-4M
Mean_return:0.27 Frame:2.81 M  Time_used 2H-3M Time_togo 144H-55M
Mean_return:0.45 Frame:2.87 M  Time_used 2H-5M Time_togo 144H-24M
Mean_return:0.22 Frame:2.91 M  Time_used 2H-7M Time_togo 144H-7M
Mean_return:0.44 Frame:2.96 M  Time_used 2H-9M Time_togo 144H-1M
------------------------------------------------------------
Num steps: 750000  return: 132.3
------------------------------------------------------------
Mean_return:0.31 Frame:3.01 M  Time_used 2H-19M Time_togo 152H-3M
Mean_return:0.39 Frame:3.07 M  Time_used 2H-21M Time_togo 151H-36M
Mean_return:0.38 Frame:3.12 M  Time_used 2H-23M Time_togo 151H-14M
Mean_return:0.36 Frame:3.17 M  Time_used 2H-26M Time_togo 151H-4M
Mean_return:0.37 Frame:3.23 M  Time_used 2H-28M Time_togo 150H-47M
Mean_return:0.54 Frame:3.30 M  Time_used 2H-31M Time_togo 150H-26M
Mean_return:0.56 Frame:3.37 M  Time_used 2H-34M Time_togo 150H-1M
Mean_return:0.6 Frame:3.44 M  Time_used 2H-37M Time_togo 149H-41M
Mean_return:0.52 Frame:3.51 M  Time_used 2H-39M Time_togo 149H-6M
Mean_return:0.48 Frame:3.58 M  Time_used 2H-41M Time_togo 148H-14M
Mean_return:0.49 Frame:3.66 M  Time_used 2H-45M Time_togo 147H-53M
Mean_return:0.66 Frame:3.74 M  Time_used 2H-48M Time_togo 147H-13M
Mean_return:0.63 Frame:3.81 M  Time_used 2H-50M Time_togo 146H-35M
Mean_return:0.74 Frame:3.90 M  Time_used 2H-54M Time_togo 146H-9M
Mean_return:0.66 Frame:3.98 M  Time_used 2H-56M Time_togo 145H-4M
------------------------------------------------------------
Num steps: 1000000  return: 249.4
------------------------------------------------------------
Mean_return:0.64 Frame:4.06 M  Time_used 3H-8M Time_togo 151H-6M
Mean_return:0.71 Frame:4.15 M  Time_used 3H-13M Time_togo 151H-57M
Mean_return:0.72 Frame:4.23 M  Time_used 3H-17M Time_togo 152H-41M
Mean_return:0.74 Frame:4.31 M  Time_used 3H-22M Time_togo 153H-8M
Mean_return:0.83 Frame:4.40 M  Time_used 3H-27M Time_togo 153H-38M
Mean_return:0.78 Frame:4.50 M  Time_used 3H-32M Time_togo 154H-8M
Mean_return:0.77 Frame:4.59 M  Time_used 3H-37M Time_togo 154H-37M
Mean_return:0.85 Frame:4.68 M  Time_used 3H-42M Time_togo 155H-8M
Mean_return:0.87 Frame:4.78 M  Time_used 3H-48M Time_togo 155H-32M
Mean_return:0.89 Frame:4.87 M  Time_used 3H-53M Time_togo 155H-57M
Mean_return:0.81 Frame:4.97 M  Time_used 3H-58M Time_togo 156H-17M
------------------------------------------------------------
Num steps: 1250000  return: 264.4
------------------------------------------------------------
Mean_return:0.9 Frame:5.06 M  Time_used 4H-11M Time_togo 161H-31M
Mean_return:1.2 Frame:5.17 M  Time_used 4H-17M Time_togo 161H-49M
Mean_return:1.06 Frame:5.27 M  Time_used 4H-22M Time_togo 161H-44M
Mean_return:1.17 Frame:5.37 M  Time_used 4H-27M Time_togo 161H-18M
Mean_return:1.11 Frame:5.47 M  Time_used 4H-32M Time_togo 161H-29M
Mean_return:1.17 Frame:5.57 M  Time_used 4H-37M Time_togo 161H-31M
Mean_return:1.27 Frame:5.69 M  Time_used 4H-43M Time_togo 161H-36M
Mean_return:1.26 Frame:5.79 M  Time_used 4H-49M Time_togo 161H-48M
Mean_return:1.29 Frame:5.90 M  Time_used 4H-54M Time_togo 161H-45M
------------------------------------------------------------
Num steps: 1500000  return: 494.1
------------------------------------------------------------
Mean_return:1.22 Frame:6.00 M  Time_used 5H-8M Time_togo 165H-56M
Mean_return:1.19 Frame:6.11 M  Time_used 5H-13M Time_togo 165H-58M
Mean_return:1.27 Frame:6.22 M  Time_used 5H-19M Time_togo 165H-56M
Mean_return:1.09 Frame:6.32 M  Time_used 5H-24M Time_togo 165H-51M
Mean_return:1.11 Frame:6.42 M  Time_used 5H-30M Time_togo 166H-0M
Mean_return:1.16 Frame:6.53 M  Time_used 5H-36M Time_togo 166H-26M
Mean_return:1.04 Frame:6.62 M  Time_used 5H-42M Time_togo 166H-33M
Mean_return:1.14 Frame:6.73 M  Time_used 5H-48M Time_togo 166H-43M
Mean_return:1.33 Frame:6.83 M  Time_used 5H-53M Time_togo 166H-37M
Mean_return:1.2 Frame:6.93 M  Time_used 5H-58M Time_togo 166H-26M
------------------------------------------------------------
Num steps: 1750000  return: 367.5
------------------------------------------------------------
Mean_return:1.19 Frame:7.03 M  Time_used 6H-11M Time_togo 169H-43M
Mean_return:1.29 Frame:7.14 M  Time_used 6H-16M Time_togo 169H-36M
Mean_return:1.23 Frame:7.25 M  Time_used 6H-22M Time_togo 169H-33M
Mean_return:1.2 Frame:7.35 M  Time_used 6H-27M Time_togo 169H-29M
Mean_return:1.34 Frame:7.45 M  Time_used 6H-33M Time_togo 169H-23M
Mean_return:1.26 Frame:7.54 M  Time_used 6H-38M Time_togo 169H-22M
Mean_return:1.21 Frame:7.65 M  Time_used 6H-44M Time_togo 169H-36M
Mean_return:1.43 Frame:7.75 M  Time_used 6H-50M Time_togo 169H-41M
Mean_return:1.34 Frame:7.86 M  Time_used 6H-56M Time_togo 169H-53M
Mean_return:1.12 Frame:7.96 M  Time_used 7H-2M Time_togo 169H-46M
------------------------------------------------------------
Num steps: 2000000  return: 373.5
------------------------------------------------------------
Mean_return:1.36 Frame:8.06 M  Time_used 7H-15M Time_togo 172H-37M
Mean_return:1.44 Frame:8.17 M  Time_used 7H-20M Time_togo 172H-27M
Mean_return:1.23 Frame:8.28 M  Time_used 7H-26M Time_togo 172H-26M
Mean_return:1.3 Frame:8.38 M  Time_used 7H-32M Time_togo 172H-21M
Mean_return:1.17 Frame:8.48 M  Time_used 7H-37M Time_togo 172H-23M
Mean_return:1.27 Frame:8.58 M  Time_used 7H-43M Time_togo 172H-17M
Mean_return:1.43 Frame:8.69 M  Time_used 7H-49M Time_togo 172H-23M
Mean_return:1.17 Frame:8.78 M  Time_used 7H-54M Time_togo 172H-7M
Mean_return:1.33 Frame:8.88 M  Time_used 7H-59M Time_togo 172H-10M
Mean_return:1.28 Frame:8.98 M  Time_used 8H-5M Time_togo 172H-3M
------------------------------------------------------------
Num steps: 2250000  return: 490.1
------------------------------------------------------------
Mean_return:1.35 Frame:9.08 M  Time_used 8H-18M Time_togo 174H-48M
