Namespace(config='config/qrdqn.yaml', cuda=True, env_id='JamesbondNoFrameskip-v4', model='DEnet', seed=2)
Mean_return:0.15 Frame:0.03 M  Time_used 0H-0M Time_togo 66H-54M
Mean_return:0.09 Frame:0.06 M  Time_used 0H-1M Time_togo 99H-2M
Mean_return:0.22 Frame:0.10 M  Time_used 0H-2M Time_togo 102H-19M
Mean_return:0.07 Frame:0.13 M  Time_used 0H-4M Time_togo 105H-31M
Mean_return:0.12 Frame:0.16 M  Time_used 0H-5M Time_togo 110H-37M
Mean_return:0.1 Frame:0.19 M  Time_used 0H-6M Time_togo 110H-10M
Mean_return:0.11 Frame:0.23 M  Time_used 0H-7M Time_togo 109H-28M
Mean_return:0.07 Frame:0.26 M  Time_used 0H-8M Time_togo 111H-50M
Mean_return:0.03 Frame:0.29 M  Time_used 0H-9M Time_togo 113H-55M
Mean_return:0.08 Frame:0.32 M  Time_used 0H-11M Time_togo 114H-21M
Mean_return:0.03 Frame:0.35 M  Time_used 0H-12M Time_togo 117H-37M
Mean_return:0.06 Frame:0.38 M  Time_used 0H-13M Time_togo 118H-34M
Mean_return:0.11 Frame:0.41 M  Time_used 0H-15M Time_togo 121H-4M
Mean_return:0.11 Frame:0.44 M  Time_used 0H-16M Time_togo 122H-28M
Mean_return:0.07 Frame:0.48 M  Time_used 0H-17M Time_togo 123H-42M
Mean_return:0.11 Frame:0.51 M  Time_used 0H-19M Time_togo 125H-14M
Mean_return:0.11 Frame:0.54 M  Time_used 0H-20M Time_togo 126H-45M
Mean_return:0.14 Frame:0.57 M  Time_used 0H-22M Time_togo 127H-56M
Mean_return:0.19 Frame:0.61 M  Time_used 0H-23M Time_togo 130H-9M
Mean_return:0.15 Frame:0.64 M  Time_used 0H-25M Time_togo 131H-19M
Mean_return:0.2 Frame:0.68 M  Time_used 0H-27M Time_togo 132H-36M
Mean_return:0.11 Frame:0.71 M  Time_used 0H-28M Time_togo 132H-35M
Mean_return:0.17 Frame:0.74 M  Time_used 0H-29M Time_togo 132H-44M
Mean_return:0.09 Frame:0.77 M  Time_used 0H-31M Time_togo 133H-40M
Mean_return:0.12 Frame:0.80 M  Time_used 0H-32M Time_togo 134H-2M
Mean_return:0.16 Frame:0.84 M  Time_used 0H-33M Time_togo 133H-50M
Mean_return:0.07 Frame:0.88 M  Time_used 0H-35M Time_togo 134H-38M
Mean_return:0.15 Frame:0.91 M  Time_used 0H-36M Time_togo 134H-56M
Mean_return:0.17 Frame:0.94 M  Time_used 0H-38M Time_togo 137H-11M
Mean_return:0.17 Frame:0.97 M  Time_used 0H-40M Time_togo 139H-10M
------------------------------------------------------------
Num steps: 250000  return: 19.9 
------------------------------------------------------------
Mean_return:0.11 Frame:1.00 M  Time_used 0H-54M Time_togo 178H-52M
Mean_return:0.09 Frame:1.04 M  Time_used 0H-56M Time_togo 179H-42M
Mean_return:0.13 Frame:1.07 M  Time_used 0H-58M Time_togo 180H-15M
Mean_return:0.08 Frame:1.11 M  Time_used 1H-0M Time_togo 180H-20M
Mean_return:0.19 Frame:1.14 M  Time_used 1H-2M Time_togo 181H-5M
Mean_return:0.16 Frame:1.18 M  Time_used 1H-4M Time_togo 181H-33M
Mean_return:0.1 Frame:1.21 M  Time_used 1H-6M Time_togo 181H-59M
Mean_return:0.19 Frame:1.24 M  Time_used 1H-8M Time_togo 183H-17M
Mean_return:0.17 Frame:1.28 M  Time_used 1H-11M Time_togo 183H-39M
Mean_return:0.1 Frame:1.32 M  Time_used 1H-13M Time_togo 183H-17M
Mean_return:0.06 Frame:1.36 M  Time_used 1H-14M Time_togo 182H-16M
Mean_return:0.22 Frame:1.40 M  Time_used 1H-16M Time_togo 181H-12M
Mean_return:0.12 Frame:1.44 M  Time_used 1H-18M Time_togo 180H-20M
Mean_return:0.15 Frame:1.47 M  Time_used 1H-19M Time_togo 179H-30M
Mean_return:0.07 Frame:1.51 M  Time_used 1H-21M Time_togo 178H-43M
Mean_return:0.15 Frame:1.55 M  Time_used 1H-23M Time_togo 177H-52M
Mean_return:0.13 Frame:1.58 M  Time_used 1H-25M Time_togo 178H-7M
Mean_return:0.17 Frame:1.62 M  Time_used 1H-27M Time_togo 178H-39M
Mean_return:0.22 Frame:1.67 M  Time_used 1H-30M Time_togo 178H-44M
Mean_return:0.14 Frame:1.70 M  Time_used 1H-32M Time_togo 178H-53M
Mean_return:0.21 Frame:1.75 M  Time_used 1H-34M Time_togo 179H-12M
Mean_return:0.23 Frame:1.79 M  Time_used 1H-37M Time_togo 179H-16M
Mean_return:0.27 Frame:1.84 M  Time_used 1H-39M Time_togo 179H-32M
Mean_return:0.13 Frame:1.87 M  Time_used 1H-42M Time_togo 180H-7M
Mean_return:0.1 Frame:1.91 M  Time_used 1H-44M Time_togo 180H-30M
Mean_return:0.2 Frame:1.95 M  Time_used 1H-46M Time_togo 181H-1M
Mean_return:0.21 Frame:1.99 M  Time_used 1H-49M Time_togo 181H-22M
------------------------------------------------------------
Num steps: 500000  return: 34.8 
------------------------------------------------------------
Mean_return:0.12 Frame:2.03 M  Time_used 2H-2M Time_togo 198H-57M
Mean_return:0.09 Frame:2.07 M  Time_used 2H-4M Time_togo 198H-27M
Mean_return:0.13 Frame:2.10 M  Time_used 2H-6M Time_togo 197H-38M
Mean_return:0.12 Frame:2.14 M  Time_used 2H-7M Time_togo 196H-44M
Mean_return:0.16 Frame:2.19 M  Time_used 2H-10M Time_togo 196H-23M
Mean_return:0.23 Frame:2.23 M  Time_used 2H-13M Time_togo 196H-17M
Mean_return:0.14 Frame:2.27 M  Time_used 2H-15M Time_togo 196H-6M
Mean_return:0.25 Frame:2.32 M  Time_used 2H-18M Time_togo 195H-53M
Mean_return:0.18 Frame:2.37 M  Time_used 2H-20M Time_togo 195H-37M
Mean_return:0.13 Frame:2.42 M  Time_used 2H-23M Time_togo 195H-34M
Mean_return:0.2 Frame:2.46 M  Time_used 2H-26M Time_togo 195H-39M
Mean_return:0.15 Frame:2.51 M  Time_used 2H-28M Time_togo 195H-31M
Mean_return:0.16 Frame:2.56 M  Time_used 2H-32M Time_togo 195H-42M
Mean_return:0.19 Frame:2.60 M  Time_used 2H-34M Time_togo 195H-43M
Mean_return:0.27 Frame:2.64 M  Time_used 2H-37M Time_togo 195H-51M
Mean_return:0.21 Frame:2.69 M  Time_used 2H-40M Time_togo 195H-38M
Mean_return:0.16 Frame:2.74 M  Time_used 2H-42M Time_togo 195H-9M
Mean_return:0.13 Frame:2.78 M  Time_used 2H-44M Time_togo 194H-47M
Mean_return:0.16 Frame:2.83 M  Time_used 2H-47M Time_togo 193H-57M
Mean_return:0.21 Frame:2.89 M  Time_used 2H-49M Time_togo 192H-49M
Mean_return:0.25 Frame:2.94 M  Time_used 2H-51M Time_togo 191H-47M
Mean_return:0.18 Frame:2.99 M  Time_used 2H-53M Time_togo 191H-0M
------------------------------------------------------------
Num steps: 750000  return: 48.7 
------------------------------------------------------------
Mean_return:0.16 Frame:3.04 M  Time_used 3H-5M Time_togo 200H-16M
Mean_return:0.18 Frame:3.09 M  Time_used 3H-7M Time_togo 199H-17M
Mean_return:0.19 Frame:3.13 M  Time_used 3H-9M Time_togo 198H-46M
Mean_return:0.19 Frame:3.18 M  Time_used 3H-11M Time_togo 198H-2M
Mean_return:0.15 Frame:3.23 M  Time_used 3H-14M Time_togo 197H-13M
Mean_return:0.29 Frame:3.28 M  Time_used 3H-16M Time_togo 196H-35M
Mean_return:0.25 Frame:3.33 M  Time_used 3H-19M Time_togo 196H-4M
Mean_return:0.16 Frame:3.38 M  Time_used 3H-21M Time_togo 194H-51M
Mean_return:0.16 Frame:3.44 M  Time_used 3H-23M Time_togo 193H-56M
Mean_return:0.21 Frame:3.49 M  Time_used 3H-25M Time_togo 193H-11M
Mean_return:0.21 Frame:3.54 M  Time_used 3H-28M Time_togo 192H-22M
Mean_return:0.3 Frame:3.61 M  Time_used 3H-30M Time_togo 191H-23M
Mean_return:0.3 Frame:3.66 M  Time_used 3H-33M Time_togo 190H-47M
Mean_return:0.23 Frame:3.72 M  Time_used 3H-35M Time_togo 189H-57M
Mean_return:0.18 Frame:3.77 M  Time_used 3H-38M Time_togo 189H-12M
Mean_return:0.17 Frame:3.83 M  Time_used 3H-40M Time_togo 188H-26M
Mean_return:0.2 Frame:3.88 M  Time_used 3H-42M Time_togo 187H-41M
Mean_return:0.1 Frame:3.93 M  Time_used 3H-45M Time_togo 187H-23M
Mean_return:0.23 Frame:3.99 M  Time_used 3H-47M Time_togo 186H-26M
------------------------------------------------------------
Num steps: 1000000  return: 116.1
------------------------------------------------------------
Mean_return:0.1 Frame:4.05 M  Time_used 4H-0M Time_togo 193H-57M
Mean_return:0.19 Frame:4.10 M  Time_used 4H-4M Time_togo 194H-10M
Mean_return:0.24 Frame:4.17 M  Time_used 4H-8M Time_togo 194H-15M
Mean_return:0.2 Frame:4.24 M  Time_used 4H-12M Time_togo 194H-40M
Mean_return:0.4 Frame:4.31 M  Time_used 4H-17M Time_togo 194H-58M
