Namespace(config='config/qrdqn.yaml', cuda=True, env_id='JamesbondNoFrameskip-v4', model='ncQRDQN', seed=3)
Mean_return:0.08 Frame:0.03 M  Time_used 0H-0M Time_togo 50H-40M
Mean_return:0.11 Frame:0.06 M  Time_used 0H-1M Time_togo 72H-43M
Mean_return:0.18 Frame:0.10 M  Time_used 0H-2M Time_togo 81H-4M
Mean_return:0.06 Frame:0.13 M  Time_used 0H-3M Time_togo 82H-1M
Mean_return:0.18 Frame:0.16 M  Time_used 0H-4M Time_togo 83H-51M
Mean_return:0.09 Frame:0.19 M  Time_used 0H-4M Time_togo 85H-4M
Mean_return:0.08 Frame:0.23 M  Time_used 0H-5M Time_togo 86H-24M
Mean_return:0.09 Frame:0.26 M  Time_used 0H-6M Time_togo 85H-58M
Mean_return:0.04 Frame:0.29 M  Time_used 0H-7M Time_togo 85H-31M
Mean_return:0.12 Frame:0.32 M  Time_used 0H-8M Time_togo 86H-43M
Mean_return:0.08 Frame:0.35 M  Time_used 0H-9M Time_togo 86H-53M
Mean_return:0.13 Frame:0.38 M  Time_used 0H-10M Time_togo 89H-2M
Mean_return:0.09 Frame:0.42 M  Time_used 0H-11M Time_togo 90H-7M
Mean_return:0.08 Frame:0.45 M  Time_used 0H-12M Time_togo 91H-52M
Mean_return:0.13 Frame:0.48 M  Time_used 0H-13M Time_togo 92H-35M
Mean_return:0.14 Frame:0.51 M  Time_used 0H-14M Time_togo 93H-53M
Mean_return:0.1 Frame:0.55 M  Time_used 0H-15M Time_togo 95H-55M
Mean_return:0.18 Frame:0.58 M  Time_used 0H-16M Time_togo 96H-40M
Mean_return:0.06 Frame:0.61 M  Time_used 0H-17M Time_togo 97H-23M
Mean_return:0.14 Frame:0.65 M  Time_used 0H-19M Time_togo 98H-23M
Mean_return:0.13 Frame:0.68 M  Time_used 0H-20M Time_togo 99H-17M
Mean_return:0.15 Frame:0.72 M  Time_used 0H-21M Time_togo 99H-48M
Mean_return:0.15 Frame:0.75 M  Time_used 0H-22M Time_togo 100H-35M
Mean_return:0.17 Frame:0.79 M  Time_used 0H-24M Time_togo 102H-2M
Mean_return:0.18 Frame:0.82 M  Time_used 0H-25M Time_togo 102H-21M
Mean_return:0.08 Frame:0.86 M  Time_used 0H-26M Time_togo 103H-26M
Mean_return:0.06 Frame:0.89 M  Time_used 0H-28M Time_togo 104H-11M
Mean_return:0.13 Frame:0.93 M  Time_used 0H-29M Time_togo 105H-42M
Mean_return:0.11 Frame:0.96 M  Time_used 0H-31M Time_togo 107H-38M
Mean_return:0.12 Frame:0.99 M  Time_used 0H-32M Time_togo 108H-48M
------------------------------------------------------------
Num steps: 250000  return: 30.3 
------------------------------------------------------------
Mean_return:0.11 Frame:1.03 M  Time_used 0H-44M Time_togo 141H-52M
Mean_return:0.15 Frame:1.06 M  Time_used 0H-46M Time_togo 143H-21M
Mean_return:0.15 Frame:1.10 M  Time_used 0H-47M Time_togo 143H-24M
Mean_return:0.16 Frame:1.13 M  Time_used 0H-48M Time_togo 143H-23M
Mean_return:0.2 Frame:1.17 M  Time_used 0H-50M Time_togo 143H-58M
Mean_return:0.21 Frame:1.21 M  Time_used 0H-52M Time_togo 143H-15M
Mean_return:0.15 Frame:1.25 M  Time_used 0H-53M Time_togo 142H-35M
Mean_return:0.13 Frame:1.29 M  Time_used 0H-55M Time_togo 142H-8M
Mean_return:0.18 Frame:1.32 M  Time_used 0H-56M Time_togo 141H-44M
Mean_return:0.12 Frame:1.36 M  Time_used 0H-58M Time_togo 141H-15M
Mean_return:0.24 Frame:1.40 M  Time_used 0H-59M Time_togo 140H-10M
Mean_return:0.15 Frame:1.44 M  Time_used 1H-0M Time_togo 140H-2M
Mean_return:0.1 Frame:1.48 M  Time_used 1H-2M Time_togo 140H-2M
Mean_return:0.16 Frame:1.52 M  Time_used 1H-4M Time_togo 140H-6M
Mean_return:0.15 Frame:1.55 M  Time_used 1H-5M Time_togo 140H-10M
Mean_return:0.23 Frame:1.59 M  Time_used 1H-7M Time_togo 140H-14M
Mean_return:0.2 Frame:1.63 M  Time_used 1H-9M Time_togo 141H-11M
Mean_return:0.17 Frame:1.67 M  Time_used 1H-11M Time_togo 140H-52M
Mean_return:0.18 Frame:1.71 M  Time_used 1H-12M Time_togo 140H-48M
Mean_return:0.09 Frame:1.74 M  Time_used 1H-14M Time_togo 140H-43M
Mean_return:0.23 Frame:1.78 M  Time_used 1H-15M Time_togo 140H-35M
